 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
483,ConsignmentItem,5,152 ,0..1,חובה בכל מקרה שציוד ההובלה הוא סוג של מכולה,סוג ציוד ההובלה.   חובה רק במצהר מלא/מכולות ריקות/ריקונים?,"רשומה 3 - סוג מכולה, פוז' 028-029 + אורך מכולה, פוז' 030-031",C,המרה: יש לשרשר את הנתונים ברשומה 3 פוז' 028-029 + 030-031. להכנס לטבלה: TBLOAD_A45_HCONT_TO_WCO    ולשלוף את הערך המתאים מעמודה: WCO_TYPE,"סוג אריזה 
(של ציוד הובלה)",Equipment size and type identification,CharacteristicCode,            CharacteristicCode,Declaration.Consignment.ConsignmentItem.TransportEquipment.CharacteristicCode,קוד סוג  ציוד הובלה,"מכולה, טריילר וכו'
בעסקת ריקון, שדה זה  חובה למשלח ימי","ISO 6346 למכולה
או
לפי  ULD סוגי 
IATA",ללכת לפי תקן ISO  במכולות,צריך
484,ConsignmentItem,5,351 ,0..1,מצהר מלא. לא להסבה,קוד סטטוס ציוד הובלה.ישמש במצהר מלא עם קוד 4 -REMAIN ON BOARD לציון מכולות שלא יורדות מאנייה,,C,לא להסבה,,Container status code,EventStatusCode,            EventStatusCode,Declaration.Consignment.ConsignmentItem.TransportEquipment.EventStatusCode,קוד סטאטוס ציוד הובלה,,"בימי - 
ישמש למכולות שלא יורדות מהאוניה (מצהר מלא)
קוד  4  (ורק קוד 4)   remain on board 
ניתן להשתמש לצורך הרחבת סוג טיפול בציוד הובלה  
באווירי -
ישמש עבור ULD שלא יורדים מהמטוס
(מצהר מלא  FROB - freight  freight remain on board )   
קוד 4   (ורק קוד 4)  remain on board 

",,צריך
485,ConsignmentItem,5,154 ,0..1,,חובה במכולות ריקות בלבד-מציין מידת מילוי של כלי ההובלה-חובה במכולות ריקות ואיזוטנקים ריקים,"קוד טיפול, רשומה 3, פוז' 091-092",C,"אם קוד הטיפול הוא 15 או 23 יושם לשדה הערך ""4""' . עבור קוד טיפול 3 יש לכתוב ערך ""5"" . אחרת ישאר ריק",קוד תוכן מכולה מיוחדת ,Transport equipment loaded status,FullnessCode,            FullnessCode,Declaration.Consignment.ConsignmentItem.TransportEquipment..FullnessCode,קוד מידת מילוי של ציוד ההובלה,"בעסקת ריקון, אין להזין ערך 4 (מכולה ריקה)","ישמש לצורך דיווח מכולות ריקות שאינן בבעלות פרטית.
ברמת מטען ( Consignment )  , אין לכלול גם מכולות ריקות וגם מכולות מלאות.",,צריך
486,ConsignmentItem,5,159 ,0..1,,חובה רק עבור מכולות ומטענים מרוקנים,מספר מכולה- רשומה 3 - פוז' 016-027,C,העתקה מלאה של מספר המכולה. ,"מזהה אריזה
(מספר מכולה/אחר)",Equipment identification number,ID,            ID,Declaration.Consignment.ConsignmentItem.TransportEquipment.ID,מספר מזהה ציוד הובלה,,"בימי - מספר מכולה
באווירי- מספר ULD
ביבשתי  - מספר מכולה אם מטען מגיע במכולה או מספר משאית אם מגיע לא במכולה",,צריך
487,ConsignmentItem,5,157 ,0..1,,לא רלוונטי למצהר ימי,,O,לא צריך,,Container legal status indicator,LegalStatusIndicator,            LegalStatusIndicator,Declaration.Consignment.ConsignmentItem.Packaging.TransportEquipment.LegalStatusIndicator,אינדקציה אם ציוד ההובלה תקני,,"1 - ציוד תקני 
0 - ציוד לא תקני
לא נדרש  ע""י חנ""י",להחלטת הנמל,לא צריך
488,ConsignmentItem,5,279 ,0..1,,קוד מדינת הרישוי של ציוד ההובלה. נראה לא רלוונטי למצהר ימי,,O,לא צריך,,Transport equipment country,LicensePlateIssuingCountry,            LicensePlateIssuingCountry,Declaration.Consignment.ConsignmentItem.TransportEquipment.LicensePlateIssuingCountry,מזהה מדינת רישוי של ציוד הובלה,,קוד מדינת לוחות זיהוי של טריילר המובא באוניה,,צריך
492,ConsignmentItem,5,151 ,0..1,,חובה רק במכולות ריקות- EDIFACT8077,קוד בעלות-רשומה 6- פוז' 158,C,"המרה לפי הערך בקוד בעלות-רשומה 6- פוז' 158        מצהר קיים 1 = WCO 1 ,      מצהר קיים 0 =  WCO 2      ",קוד בעלות,"Equipment supplier type, coded",SupplierPartyTypeCode,            SupplierPartyTypeCode,Declaration.Consignment.ConsignmentItem.TransportEquipment.SupplierPartyTypeCode,קוד סוג הגורם שבבעלותו ציוד ההובלה,"ספק (בעלים) של ציוד ההובלה, עדיין לא נותן פתרון לבעלות פרטית ",לבדוק האם זהה לקוד קו למכולות,יש להוסיף ערך בעלות פרטית לטבלה,צריך
1000,ConsignmentItem,5,44B,0..*,,,,,H,, ,Seal,            Seal,Declaration.Consignment.ConsignmentItem.TransportEquipment.Seal,כותרת חטיבת סגרים,,"כותרת חטיבת סגרים 
חובה אם סוג המכולה מחייב סגר.
בעסקת ריקון חטיבה זו הינה רשות למשלח ימי",,צריך
1001,ConsignmentItem,6,006 ,0..1,,,,,,,Sequence number,SequenceNumeric,               SequenceNumeric,Declaration.Consignment.ConsignmentItem.TransportEquipment.Seal.SequenceNumeric ,מספר מופע,,בחטיבה רב מופעית זהו מספר המופע,,צריך
1002,ConsignmentItem,6,165 ,0..1,,במסר הקיים יתכנו עד שני סגרים. במידה ויש יותר מאחד  - יש למפות גם אותו.,"מספר סגר-רשומה 3-פוז' 101-108, וברשומה 5 פוז' 147-154 - סגר נוסף",C,שרשור הערך ברשומה 5 לערך המופיע ברשומה 3-חובה רק במכולות- מספרי סגרים(רב מופעי),מספר סגר,Seal number,ID,               ID,Declaration.Consignment.ConsignmentItem.TransportEquipment.Seal.ID,מספר סגר,,,,צריך
1003,ConsignmentItem,6,407 ,0..1,,,,,,,Seal Type Code  ,TypeCode,               TypeCode,Declaration.Consignment.ConsignmentItem.TransportEquipment.Seal.TypeCode,סוג סגר,,,,צריך
1004,ConsignmentItem,6,408 ,0..1,,,,,,,Seal Condition Code,ConditionCode,               ConditionCode,Declaration.Consignment.ConsignmentItem.TransportEquipment.Seal.ConditionCode,מצב סגר,,,,צריך
1005,ConsignmentItem,6, 53B,0..1,,,,,,,SealingParty,SealingParty,               SealingParty,,הגורם שהסגר שלו,,,,לא צריך
1006,ConsignmentItem,7,R116,0..1,,,,,,,Sealing Party Name,Name,                  Name,,שם,,,,לא צריך
1007,ConsignmentItem,7,R117,0..1,,,,,,,Sealing Party Identifier ,ID,                  ID,,מספר,,,,לא צריך
490,ConsignmentItem,6,165 ,0..1,,במסר הקיים יתכנו עד שני סגרים. במידה ויש יותר מאחד  - יש למפות גם אותו.,"מספר סגר-רשומה 3-פוז' 101-108, וברשומה 5 פוז' 147-154 - סגר נוסף",C,שרשור הערך ברשומה 5 לערך המופיע ברשומה 3-חובה רק במכולות- מספרי סגרים(רב מופעי),מספר סגר,Seal number,SealID,               SealID,Declaration.Consignment.ConsignmentItem.Packaging.TransportEquipment.SealID,מספר מזהה סגר,,"נמצא גם ברמת מטען , בהנחה ש- Comodity יהיה חד מופעי אז השדה כאן מתאים לרמת שורה המטען","מספר סגר – מוביל ימי
+
מספר סגר נוסף (O)  אופציונלי. רק לגבי מכולות שיש להן שני סגרים. ",בוטל
495,ConsignmentItem,4,35B,0..*,,,,,H,,,UCR,         UCR,Declaration.Consignment.ConsignmentItem.UCR,UCR  כותרת   ,,,,צריך
496,ConsignmentItem,5,016 ,0..1,,מזהה בנלאומי שילווה את המטען לכל אורך שרשרת לוגיסטית. אולי יחליף את שטר המטען,,O,לא להסבה,UCR,UCR,ID,            ID,Declaration.Consignment.ConsignmentItem.UCR.UCR.ID,מספר מזהה מטען בינלאומי,,כאשר במשלוחים של מטען שהם חלק מעיסקה אחת גדולה שמגיעה בחלקים כל תקופה,,צריך
497,ConsignmentItem,5,009 ,0..1,,מזהה של הספק למטען,,O,לא להסבה,,Trader reference,TraderAssignedReferenceID,            TraderAssignedReferenceID,Declaration.Consignment.ConsignmentItem.UCR.TraderAssignedReferenceID,"מזהה מטען שניתן ע""י הספק",,מזהה של הספק למטען. יכול לשמש כרפרנס נוסף,,צריך
