DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
Declaration.dxml,Declaration.lxml,Relation,DeclarationDocumentTypeCode,DeclarationDocumentTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,DeclarationStatusTypeCode,DeclarationStatusTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,TransportModeId,TransportModeId,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,StorageSiteCode,StorageSiteCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,ImporterTypeCode,ImporterTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,TransferImporterTypeCode,TransferImporterTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,EntitleImporterTypeCode,EntitleImporterTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,PaymentStatusCode,PaymentStatusCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,MainImporterEntitlemntTypeCode,MainImporterEntitlemntTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,StorageStatusCode,StorageStatusCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,ManifestCargoStatusCode,ManifestCargoStatusCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,CourierCustomStatusCode,CourierCustomStatusCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,CourierSuspentionReasonCode,CourierSuspentionReasonCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,WeightValue,WeightValue,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,AcceptanceStatusCode,AcceptanceStatusCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,CourierSuspentionCode,CourierSuspentionCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,AmendmentStatus,AmendmentStatus,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Column,NULL,DeclarationTaxes,Name,NULL,DeclarationTaxes
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Table,DeclarationCargoSplits,DeclarationCargoSplits,DBType,Main,
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Table,DeclarationCargoSplits,DeclarationCargoSplits,Schema,Customs,
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Relation,ActionTypeCode,ActionTypeCode,Referenced Table Schema,Customs,
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Relation,RequestReason,RequestReason,Referenced Table Schema,Customs,
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Relation,CargoTypeCode,CargoTypeCode,Referenced Table Schema,Customs,
DeclarationCargoSplit.dxml,DeclarationCargoSplit.lxml,Relation,ResponseStatusCode,ResponseStatusCode,Referenced Table Schema,Customs,
DeclarationConsAcceptance.dxml,DeclarationConsAcceptance.lxml,Table,DeclarationConsAcceptances,DeclarationConsAcceptances,DBType,Main,
DeclarationConsAcceptance.dxml,DeclarationConsAcceptance.lxml,Table,DeclarationConsAcceptances,DeclarationConsAcceptances,Schema,Customs,
DeclarationConsAcceptance.dxml,DeclarationConsAcceptance.lxml,Relation,PackageTypeCode,PackageTypeCode,Referenced Table Schema,Customs,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Table,DeclarationConstraints,DeclarationConstraints,DBType,Main,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Table,DeclarationConstraints,DeclarationConstraints,Schema,Customs,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Relation,ConstraintTypeCode,ConstraintTypeCode,Referenced Table Schema,Customs,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Relation,ConstraintStatusCode,ConstraintStatusCode,Referenced Table Schema,Customs,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Relation,ApprovalDecision,ApprovalDecision,Referenced Table Schema,Customs,
DeclarationConstraint.dxml,DeclarationConstraint.lxml,Relation,CustomsCollateralId,CustomsCollateralId,Referenced Table Schema,Customs,
DeclarationCourierStatus.dxml,DeclarationCourierStatus.lxml,Table,DeclarationCourierStatuses,DeclarationCourierStatuses,DBType,Main,
DeclarationCourierStatus.dxml,DeclarationCourierStatus.lxml,Table,DeclarationCourierStatuses,DeclarationCourierStatuses,Schema,Customs,
DeclarationCourierStatus.dxml,DeclarationCourierStatus.lxml,Relation,CourierPendingReasonCode,CourierPendingReasonCode,Referenced Table Schema,Customs,
DeclarationCourierStatus.dxml,DeclarationCourierStatus.lxml,Relation,StorageSiteStatusCode,StorageSiteStatusCode,Referenced Table Schema,Customs,
DeclarationErrorMapping.dxml,DeclarationErrorMapping.lxml,Table,DeclarationErrorMappings,DeclarationErrorMappings,DBType,Main,
DeclarationErrorMapping.dxml,DeclarationErrorMapping.lxml,Table,DeclarationErrorMappings,DeclarationErrorMappings,Schema,Customs,
DeclarationMamanSpecialAction.dxml,DeclarationMamanSpecialAction.lxml,Table,DeclarationMamanSpecialActions,DeclarationMamanSpecialActions,DBType,Main,
DeclarationMamanSpecialAction.dxml,DeclarationMamanSpecialAction.lxml,Table,DeclarationMamanSpecialActions,DeclarationMamanSpecialActions,Schema,Customs,
DeclarationMamanSpecialAction.dxml,DeclarationMamanSpecialAction.lxml,Relation,MamanSpecialActionCode,MamanSpecialActionCode,Referenced Table Schema,Customs,
DeclarationMamanSpecialAction.dxml,DeclarationMamanSpecialAction.lxml,Relation,MamanSpecialActionStatusCode,MamanSpecialActionStatusCode,Referenced Table Schema,Customs,
DeclarationPayment.dxml,DeclarationPayment.lxml,Table,DeclarationPayments,DeclarationPayments,DBType,Main,
DeclarationPayment.dxml,DeclarationPayment.lxml,Table,DeclarationPayments,DeclarationPayments,Schema,Customs,
DeclarationPaymentMethod.dxml,DeclarationPaymentMethod.lxml,Table,DeclarationPaymentMethods,DeclarationPaymentMethods,DBType,Main,
