DXML Table, LXML Table
AccountingPartners,AccountingPartner,Incorrect Table Name In LXML File
GLSHKNeedsRegistration,GLSHKNeedsRegistration,Size,0,1
GLSHKPIMA,GLSHKPIMA,Type,varchar,
GLSHKPIMA,GLSHKPIMA,Nullable,True,False
GLSHKRegistrationRequested,GLSHKRegistrationRequested,Type,bit,
GLSHKRegistrationRequested,GLSHKRegistrationRequested,Size,0,1
HasAdaptations,HasAdaptations,Type,bit,
HasAdaptations,HasAdaptations,Size,0,1
ICAO,ICAO,Type,varchar,
ICAO,ICAO,Nullable,True,False
Id,Id,Type,varchar,
Id,Id,Size,15,0
IsAllowedInAirlinesRestriction,IsAllowedInAirlinesRestriction,Type,bit,
IsAllowedInAirlinesRestriction,IsAllowedInAirlinesRestriction,Size,0,1
IsChampRegistered,IsChampRegistered,Type,bit,
IsChampRegistered,IsChampRegistered,Size,0,1
IsDeclined,IsDeclined,Type,bit,
IsDeclined,IsDeclined,Size,0,1
IsDescriptionOfGoodsFromList,IsDescriptionOfGoodsFromList,Type,bit,
IsDescriptionOfGoodsFromList,IsDescriptionOfGoodsFromList,Size,0,1
IsGLSHKRegistered,IsGLSHKRegistered,Type,bit,
IsGLSHKRegistered,IsGLSHKRegistered,Size,0,1
IsManagingProduct,IsManagingProduct,Type,bit,
IsManagingProduct,IsManagingProduct,Size,0,1
IsProductMandatory,IsProductMandatory,Type,bit,
IsProductMandatory,IsProductMandatory,Size,0,1
LimitedLength,LimitedLength,Type,bit,
LimitedLength,LimitedLength,Size,0,15
NoAvailabilityInFVAMessages,NoAvailabilityInFVAMessages,Type,bit,
NoAvailabilityInFVAMessages,NoAvailabilityInFVAMessages,Size,0,1
OldTTY,OldTTY,Type,varchar,
OldTTY,OldTTY,Size,33,0
OldTTY,OldTTY,Nullable,True,False
Prefix,Prefix,Type,char,
PrimaryContactEmail,PrimaryContactEmail,Type,varchar,
PrimaryContactEmail,PrimaryContactEmail,Nullable,True,False
PrimaryContactName,PrimaryContactName,Type,varchar,
PrimaryContactName,PrimaryContactName,Nullable,True,False
PrimaryContactPhone,PrimaryContactPhone,Type,varchar,
PrimaryContactPhone,PrimaryContactPhone,Nullable,True,False
RegistrationNotes,RegistrationNotes,Type,nvarchar,
RegistrationNotes,RegistrationNotes,Nullable,True,False
RegistrationUpdatedBy,RegistrationUpdatedBy,Type,varchar,
RegistrationUpdatedBy,RegistrationUpdatedBy,Size,60,0
RegistrationUpdatedBy,RegistrationUpdatedBy,Nullable,True,False
ScheduleDays,ScheduleDays,Type,int,
ScheduleDays,ScheduleDays,Size,0,1
TTY,TTY,Type,varchar,
TTY,TTY,Nullable,True,False


DXML Table, LXML Table
AirlineAreas,AirlineAreas
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
AirlineId,AirlineId,Type,varchar,
CreateDate,CreateDate,Type,datetime,
CreateDate,CreateDate,Nullable,True,False
CreatedByUserId,CreatedByUserId,Type,varchar,
CreatedByUserId,CreatedByUserId,Size,15,0
CreatedByUserId,CreatedByUserId,Nullable,True,False
Description,Description,Type,nvarchar,
Description,Description,Size,0,1000
Description,Description,Nullable,True,False
Id,Id,Type,nvarchar,
Id,Id,Size,128,0
Name,Name,Type,varchar,
UpdateDate,UpdateDate,Type,datetime,
UpdateDate,UpdateDate,Nullable,True,False
UpdatedByUserId,UpdatedByUserId,Type,varchar,
UpdatedByUserId,UpdatedByUserId,Size,15,0
UpdatedByUserId,UpdatedByUserId,Nullable,True,False


DXML Table, LXML Table
AirlineAreasPorts,AirlineAreasPorts
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
AddedByUserId,AddedByUserId,Type,varchar,
AddedByUserId,AddedByUserId,Size,15,0
AddedByUserId,AddedByUserId,Nullable,True,False
AddedDate,AddedDate,Type,datetime,
AddedDate,AddedDate,Nullable,True,False
AirlineAreaId,AirlineAreaId,Type,nvarchar,
AirlineAreaId,AirlineAreaId,Size,128,15
AirlineAreaId,AirlineAreaId,Nullable,False,True
Id,Id,Type,nvarchar,
Id,Id,Size,128,0
